match_id,season,phase,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,0.1,Bairstow,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,0.2,Bairstow,Boult,6,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,0.3,Bairstow,Boult,1,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,0.4,Malan,Boult,1,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,0.5,Bairstow,Boult,4,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,0.6,Bairstow,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,1.1,Malan,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,1.2,Malan,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,1.3,Malan,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,1.4,Malan,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,1.5,Malan,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,1.6,Malan,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,2.1,Bairstow,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,2.2,Bairstow,Boult,1,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,2.3,Malan,Boult,2,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,2.4,Malan,Boult,1,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,2.5,Bairstow,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,2.6,Bairstow,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,3.1,Malan,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,3.2,Malan,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,3.3,Malan,Matt Henry,4,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,3.4,Malan,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,3.5,Malan,Matt Henry,1,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,3.6,Bairstow,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,4.1,Malan,Boult,4,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,4.2,Malan,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,4.3,Malan,Boult,0,1,1,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,4.3,Malan,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,4.4,Malan,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,4.5,Malan,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,4.6,Malan,Boult,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,5.1,Bairstow,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,5.2,Bairstow,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,5.3,Bairstow,Matt Henry,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,5.4,Bairstow,Matt Henry,4,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,5.5,Bairstow,Matt Henry,4,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,5.6,Bairstow,Matt Henry,1,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,6.1,Bairstow,Santner,0,1,1,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,6.1,Bairstow,Santner,1,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,6.2,Malan,Santner,1,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,6.3,Bairstow,Santner,0,0,0,0,0,0,,,
202301,2023,Group Stage,1,"Oct 05, 2023","Narendra Modi Stadium, Ahmedabad",ENG,NZ,1,6.4,Bairstow,Santner,1,0,0,0,0,0,,,
