match_id,season,phase,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,0.1,Omair Yousuf,Ngarava,0,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,0.2,Omair Yousuf,Ngarava,0,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,0.3,Omair Yousuf,Ngarava,0,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,0.4,Omair Yousuf,Ngarava,1,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,0.5,Saim Ayub,Ngarava,1,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,0.6,Omair Yousuf,Ngarava,1,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,1.1,Omair Yousuf,Muzarabani,0,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,1.2,Omair Yousuf,Muzarabani,0,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,1.3,Omair Yousuf,Muzarabani,4,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,1.4,Omair Yousuf,Muzarabani,2,0,0,0,0,0,,,
202404,2024,Group Stage,4,"Dec 01, 2024","Queens Sports Club, Bulawayo",PAK,ZIM,1,1.5,Omair Yousuf,Muzarabani,6,0,0,0,0,0,,,
